,first_name,second_name,team,element_type,selected_by_percent,now_cost,minutes,threat,value_season,now_cost,total_points,position,value
49,Anwar,El Ghazi,Aston Villa,3,0.6,58,239,33.0,1.9,58,11,Midfielder,1.9
50,Emiliano,Buendía Stati,Aston Villa,3,1.3,64,279,23.0,2.5,64,16,Midfielder,2.5
51,Matthew,Cash,Aston Villa,2,3.8,51,625,88.0,5.9,51,30,Defender,5.9
52,Ezri,Konsa Ngoyo,Aston Villa,2,0.7,49,628,82.0,4.7,49,23,Defender,4.7
53,Frédéric,Guilbert,Aston Villa,2,0.0,45,0,0.0,0.0,45,0,Defender,0.0
54,Wesley,Moraes,Aston Villa,4,0.1,54,1,0.0,0.2,54,1,Forward,0.2
55,Mbwana Ally,Samatta,Aston Villa,4,0.0,55,0,0.0,0.0,55,0,Forward,0.0
56,Keinan,Davis,Aston Villa,4,1.4,44,0,0.0,0.0,44,0,Forward,0.0
57,Douglas Luiz,Soares de Paulo,Aston Villa,3,3.6,46,527,23.0,4.6,46,21,Midfielder,4.6
58,Jacob,Ramsey,Aston Villa,3,0.5,45,433,89.0,2.4,45,11,Midfielder,2.4
59,Ashley,Young,Aston Villa,2,0.6,49,266,6.0,2.0,49,10,Defender,2.0
60,Axel,Tuanzebe,Aston Villa,2,0.5,45,272,39.0,2.2,45,10,Defender,2.2
61,Danny,Ings,Aston Villa,4,16.5,79,593,165.0,3.8,79,30,Forward,3.8
62,Leon,Bailey,Aston Villa,3,0.6,64,84,40.0,2.2,64,14,Midfielder,2.2
63,Aaron,Ramsey,Aston Villa,3,0.2,45,0,0.0,0.0,45,0,Midfielder,0.0
64,Jaden,Philogene-Bidace,Aston Villa,3,0.0,50,4,0.0,0.2,50,1,Midfielder,0.2
65,Carney,Chukwuemeka,Aston Villa,3,0.0,45,62,0.0,0.4,45,2,Midfielder,0.4
66,Cameron,Archer,Aston Villa,4,1.2,45,5,0.0,0.4,45,2,Forward,0.4
67,Viljami,Sinisalo,Aston Villa,1,0.1,40,0,0.0,0.0,40,0,Goalkeeper,0.0
68,Lamare,Bogarde,Aston Villa,2,0.0,40,0,0.0,0.0,40,0,Defender,0.0
69,Pontus,Jansson,Brentford,2,8.5,46,621,32.0,8.3,46,38,Defender,8.3
70,Christian,Nørgaard,Brentford,3,1.0,50,617,46.0,3.8,50,19,Midfielder,3.8
71,Ivan,Toney,Brentford,4,15.0,63,630,189.0,4.9,63,31,Forward,4.9
72,Tariqe,Fosu-Henry,Brentford,3,0.0,52,0,0.0,0.0,52,0,Midfielder,0.0
73,David,Raya Martin,Brentford,1,10.0,46,630,0.0,6.5,46,30,Goalkeeper,6.5
74,Sergi,Canós,Brentford,3,2.1,55,577,104.0,4.9,55,27,Midfielder,4.9
75,Pelenda Joshua,Dasilva,Brentford,3,0.0,54,0,0.0,0.0,54,0,Midfielder,0.0
76,Rico,Henry,Brentford,2,1.1,45,614,11.0,5.3,45,24,Defender,5.3
77,Vitaly,Janelt,Brentford,3,0.3,50,511,90.0,4.6,50,23,Midfielder,4.6
78,Saman,Ghoddos,Brentford,3,0.0,53,85,36.0,0.6,53,3,Midfielder,0.6
79,Mathias,Jensen,Brentford,3,0.0,49,93,18.0,0.8,49,4,Midfielder,0.8
80,Charlie,Goode,Brentford,2,2.1,39,0,0.0,0.0,39,0,Defender,0.0
81,Marcus,Forss,Brentford,4,0.1,53,4,0.0,0.2,53,1,Forward,0.2
82,Mads,Roerslev Rasmussen,Brentford,2,0.1,43,44,0.0,0.5,43,2,Defender,0.5
83,Mads,Bech Sørensen,Brentford,2,0.0,44,19,0.0,0.2,44,1,Defender,0.2
84,Ethan,Pinnock,Brentford,2,6.3,46,582,62.0,8.3,46,38,Defender,8.3
85,Ellery,Balcombe,Brentford,1,0.0,40,0,0.0,0.0,40,0,Goalkeeper,0.0
86,Jan,Zamburek,Brentford,3,0.8,45,0,0.0,0.0,45,0,Midfielder,0.0
87,Patrik,Gunnarsson,Brentford,1,0.9,40,0,0.0,0.0,40,0,Goalkeeper,0.0
88,Halil,Dervişoğlu,Brentford,4,0.0,54,0,0.0,0.0,54,0,Forward,0.0
89,Bryan,Mbeumo,Brentford,3,1.4,55,591,184.0,4.9,55,27,Midfielder,4.9
90,Mads,Bidstrup,Brentford,3,0.1,45,21,0.0,0.7,45,3,Midfielder,0.7
91,Frank,Onyeka,Brentford,3,0.1,49,333,57.0,2.2,49,11,Midfielder,2.2
92,Kristoffer,Ajer,Brentford,2,1.2,45,520,28.0,5.1,45,23,Defender,5.1
93,Dominic,Thompson,Brentford,2,0.0,44,0,0.0,0.0,44,0,Defender,0.0
94,Shandon,Baptiste,Brentford,3,0.0,50,188,26.0,1.2,50,6,Midfielder,1.2
95,Yoane,Wissa,Brentford,3,0.1,59,57,72.0,2.7,59,16,Midfielder,2.7
96,Álvaro,Fernández,Brentford,1,0.1,45,0,0.0,0.0,45,0,Goalkeeper,0.0
97,Finley,Stevens,Brentford,2,0.3,40,0,0.0,0.0,40,0,Defender,0.0
98,Mathias,Jorgensen,Brentford,2,0.0,45,145,0.0,0.4,45,2,Defender,0.4
99,Adam,Lallana,Brighton,3,0.2,54,542,53.0,2.6,54,14,Midfielder,2.6
100,Jason,Steele,Brighton,1,3.2,40,0,0.0,0.0,40,0,Goalkeeper,0.0
101,Pascal,Groß,Brighton,3,0.4,60,443,72.0,3.2,60,19,Midfielder,3.2
102,Shane,Duffy,Brighton,2,23.8,43,630,168.0,8.1,43,35,Defender,8.1
103,Davy,Pröpper,Brighton,3,0.0,45,0,0.0,0.0,45,0,Midfielder,0.0
104,Dan,Burn,Brighton,2,0.0,44,155,6.0,1.8,44,8,Defender,1.8
105,Lewis,Dunk,Brighton,2,4.4,50,630,45.0,5.8,50,29,Defender,5.8
106,Solomon,March,Brighton,3,0.1,53,255,57.0,1.5,53,8,Midfielder,1.5
107,Adam,Webster,Brighton,2,0.2,44,306,0.0,2.0,44,9,Defender,2.0
108,Joël,Veltman,Brighton,2,1.3,44,405,5.0,4.5,44,20,Defender,4.5
109,Neal,Maupay,Brighton,4,3.7,65,585,180.0,4.9,65,32,Forward,4.9
110,Leandro,Trossard,Brighton,3,1.3,64,596,200.0,4.2,64,27,Midfielder,4.2
111,Mathew,Ryan,Brighton,1,0.0,45,0,0.0,0.0,45,0,Goalkeeper,0.0
112,Alireza,Jahanbakhsh,Brighton,3,0.0,55,0,0.0,0.0,55,0,Midfielder,0.0
113,Bernardo,Fernandes Da Silva Junior,Brighton,2,0.0,40,0,0.0,0.0,40,0,Defender,0.0
114,Robert,Sánchez,Brighton,1,24.1,46,630,0.0,5.4,46,25,Goalkeeper,5.4
115,Yves,Bissouma,Brighton,3,13.4,46,438,27.0,3.5,46,16,Midfielder,3.5
116,Tariq,Lamptey,Brighton,2,0.4,44,0,0.0,0.0,44,0,Defender,0.0
117,Aaron,Connolly,Brighton,4,0.1,53,59,6.0,0.4,53,2,Forward,0.4
118,Steven,Alzate,Brighton,3,0.0,49,90,2.0,0.6,49,3,Midfielder,0.6
119,Alexis,Mac Allister,Brighton,3,0.5,55,187,86.0,3.3,55,18,Midfielder,3.3
120,Jakub,Moder,Brighton,3,0.8,45,266,56.0,2.9,45,13,Midfielder,2.9
121,Danny,Welbeck,Brighton,4,0.2,60,238,64.0,2.3,60,14,Forward,2.3
122,Enock,Mwepu,Brighton,3,0.0,59,91,7.0,0.3,59,2,Midfielder,0.3
123,Kjell,Scherpen,Brighton,1,0.0,45,0,0.0,0.0,45,0,Goalkeeper,0.0
124,Florin,Andone,Brighton,4,0.1,50,0,0.0,0.0,50,0,Forward,0.0
125,Andi,Zeqiri,Brighton,4,0.4,45,0,0.0,0.0,45,0,Forward,0.0
126,Michal,Karbownik,Brighton,2,0.0,40,0,0.0,0.0,40,0,Defender,0.0
127,Taylor,Richards,Brighton,3,0.0,45,17,8.0,0.2,45,1,Midfielder,0.2
128,Moisés,Caicedo,Brighton,3,0.0,45,0,0.0,0.0,45,0,Midfielder,0.0
129,Haydon,Roberts,Brighton,2,0.2,40,0,0.0,0.0,40,0,Defender,0.0
130,Marc,Cucurella,Brighton,2,0.8,50,351,4.0,3.8,50,19,Defender,3.8
131,Jürgen,Locadia,Brighton,4,0.5,45,0,0.0,0.0,45,0,Forward,0.0
132,Jeremy,Sarmiento,Brighton,3,0.0,45,0,0.0,0.0,45,0,Midfielder,0.0
133,James,Tarkowski,Burnley,2,1.4,50,630,87.0,3.4,50,17,Defender,3.4
134,Phil,Bardsley,Burnley,2,0.7,40,0,0.0,0.0,40,0,Defender,0.0
135,Erik,Pieters,Burnley,2,0.1,43,11,2.0,0.2,43,1,Defender,0.2
136,Jack,Cork,Burnley,3,0.2,45,174,13.0,0.9,45,4,Midfielder,0.9
137,Dale,Stephens,Burnley,3,0.0,45,0,0.0,0.0,45,0,Midfielder,0.0
138,Kevin,Long,Burnley,2,0.1,40,0,0.0,0.0,40,0,Defender,0.0
139,Jay,Rodriguez,Burnley,4,0.5,53,151,92.0,0.9,53,5,Forward,0.9
140,Ashley,Barnes,Burnley,4,1.3,54,344,66.0,1.5,54,8,Forward,1.5
141,Ben,Mee,Burnley,2,1.0,49,540,72.0,2.7,49,13,Defender,2.7
142,Ashley,Westwood,Burnley,3,0.4,54,540,59.0,3.5,54,19,Midfielder,3.5
143,Johann Berg,Gudmundsson,Burnley,3,0.1,55,436,35.0,2.4,55,13,Midfielder,2.4
144,Chris,Wood,Burnley,4,1.6,68,589,215.0,2.9,68,20,Forward,2.9
145,Matthew,Lowton,Burnley,2,1.7,44,630,30.0,3.9,44,17,Defender,3.9
146,Matej,Vydra,Burnley,4,0.3,53,171,68.0,1.9,53,10,Forward,1.9
147,Nick,Pope,Burnley,1,2.9,54,630,0.0,3.3,54,18,Goalkeeper,3.3
148,Charlie,Taylor,Burnley,2,0.4,44,630,12.0,3.9,44,17,Defender,3.9
149,Will,Norris,Burnley,1,0.1,44,0,0.0,0.0,44,0,Goalkeeper,0.0
150,Josh,Brownhill,Burnley,3,3.0,44,551,79.0,2.5,44,11,Midfielder,2.5
151,Josh,Benson,Burnley,3,0.0,45,0,0.0,0.0,45,0,Midfielder,0.0
152,Bailey,Peacock-Farrell,Burnley,1,0.0,45,0,0.0,0.0,45,0,Goalkeeper,0.0
153,Dwight,McNeil,Burnley,3,0.2,59,614,86.0,2.7,59,16,Midfielder,2.7
154,Nathan,Collins,Burnley,2,0.1,43,90,38.0,1.4,43,6,Defender,1.4
155,Wayne,Hennessey,Burnley,1,0.2,45,0,0.0,0.0,45,0,Goalkeeper,0.0
156,Lewis,Richardson,Burnley,4,1.3,45,0,0.0,0.0,45,0,Forward,0.0
157,Bobby,Thomas,Burnley,2,0.3,40,0,0.0,0.0,40,0,Defender,0.0
158,Owen,Dodgson,Burnley,2,0.1,40,0,0.0,0.0,40,0,Defender,0.0
159,Aaron,Lennon,Burnley,3,0.0,50,103,30.0,0.6,50,3,Midfielder,0.6
160,Maxwel,Cornet,Burnley,3,0.0,60,78,42.0,1.0,60,6,Midfielder,1.0
161,Connor,Roberts,Burnley,2,0.0,45,0,0.0,0.0,45,0,Defender,0.0
162,César,Azpilicueta,Chelsea,2,6.1,60,542,39.0,6.0,60,36,Defender,6.0
163,Olivier,Giroud,Chelsea,4,0.0,65,0,0.0,0.0,65,0,Forward,0.0
164,Thiago,Emiliano da Silva,Chelsea,2,4.3,54,376,56.0,4.6,54,25,Defender,4.6
165,Marcos,Alonso,Chelsea,2,25.8,60,535,136.0,6.5,60,39,Defender,6.5
166,Jorge Luiz,Frello Filho,Chelsea,3,3.7,59,493,4.0,2.5,59,15,Midfielder,2.5
167,Ross,Barkley,Chelsea,3,0.1,53,7,2.0,0.2,53,1,Midfielder,0.2
168,Mateo,Kovacic,Chelsea,3,8.4,52,548,87.0,6.3,52,33,Midfielder,6.3
169,Michy,Batshuayi,Chelsea,4,0.1,55,0,0.0,0.0,55,0,Forward,0.0
170,Antonio,Rüdiger,Chelsea,2,21.1,58,630,57.0,6.2,58,36,Defender,6.2
171,Kepa,Arrizabalaga,Chelsea,1,0.3,49,90,0.0,1.2,49,6,Goalkeeper,1.2
172,N'Golo,Kanté,Chelsea,3,2.6,49,167,11.0,1.8,49,9,Midfielder,1.8
173,Hakim,Ziyech,Chelsea,3,0.3,73,98,32.0,0.5,73,4,Midfielder,0.5
174,Ruben,Loftus-Cheek,Chelsea,3,0.1,54,96,9.0,1.3,54,7,Midfielder,1.3
175,Andreas,Christensen,Chelsea,2,3.8,50,450,1.0,4.4,50,22,Defender,4.4
176,Timo,Werner,Chelsea,4,1.6,86,299,207.0,1.9,86,16,Forward,1.9
177,Benjamin,Chilwell,Chelsea,2,3.7,56,90,75.0,1.4,56,8,Defender,1.4
178,Tammy,Abraham,Chelsea,4,0.2,65,0,0.0,0.0,65,0,Forward,0.0
179,Christian,Pulisic,Chelsea,3,0.5,79,81,42.0,1.0,79,8,Midfielder,1.0
180,Mason,Mount,Chelsea,3,8.8,74,331,130.0,2.2,74,16,Midfielder,2.2
181,Ethan,Ampadu,Chelsea,2,0.0,45,0,0.0,0.0,45,0,Defender,0.0
182,Callum,Hudson-Odoi,Chelsea,3,0.1,53,145,36.0,0.9,53,5,Midfielder,0.9
183,Kai,Havertz,Chelsea,3,4.3,82,304,154.0,2.2,82,18,Midfielder,2.2
184,Reece,James,Chelsea,2,5.0,55,188,67.0,3.8,55,21,Defender,3.8
185,Edouard,Mendy,Chelsea,1,13.0,60,540,0.0,5.0,60,30,Goalkeeper,5.0
186,Malang,Sarr,Chelsea,2,0.1,49,0,0.0,0.0,49,0,Defender,0.0
187,Trevoh,Chalobah,Chelsea,2,2.1,48,273,44.0,6.7,48,32,Defender,6.7
188,Romelu,Lukaku,Chelsea,4,37.2,117,540,285.0,2.5,117,29,Forward,2.5
189,Emerson,Palmieri dos Santos,Chelsea,2,0.0,45,4,2.0,0.2,45,1,Defender,0.2
190,Saúl,Ñíguez,Chelsea,3,0.2,53,45,0.0,0.2,53,1,Midfielder,0.2
191,Marcus,Bettinelli,Chelsea,1,0.0,40,0,0.0,0.0,40,0,Goalkeeper,0.0
192,Conor,Gallagher,Crystal Palace,3,8.1,57,520,240.0,6.0,57,34,Midfielder,6.0
193,Vicente,Guaita,Crystal Palace,1,6.7,45,630,0.0,5.8,45,26,Goalkeeper,5.8
194,James,Tomkins,Crystal Palace,2,0.1,44,0,0.0,0.0,44,0,Defender,0.0
195,James,McArthur,Crystal Palace,3,3.8,46,601,47.0,3.9,46,18,Midfielder,3.9
196,Christian,Benteke,Crystal Palace,4,0.8,63,383,74.0,2.1,63,13,Forward,2.1
197,Cheikhou,Kouyaté,Crystal Palace,2,0.8,45,435,6.0,3.8,45,17,Defender,3.8
198,Martin,Kelly,Crystal Palace,2,1.0,39,0,0.0,0.0,39,0,Defender,0.0
199,Luka,Milivojevic,Crystal Palace,3,0.0,54,184,9.0,1.1,54,6,Midfielder,1.1
200,Jordan,Ayew,Crystal Palace,4,0.5,59,514,137.0,2.0,59,12,Forward,2.0
201,Wilfried,Zaha,Crystal Palace,3,7.0,69,630,164.0,4.5,69,31,Midfielder,4.5
202,Jeffrey,Schlupp,Crystal Palace,3,0.0,54,148,51.0,2.2,54,12,Midfielder,2.2
203,Jack,Butland,Crystal Palace,1,0.4,44,0,0.0,0.0,44,0,Goalkeeper,0.0
204,Jairo,Riedewald,Crystal Palace,3,0.0,48,101,2.0,0.6,48,3,Midfielder,0.6
205,Jarosław,Jach,Crystal Palace,2,0.0,44,0,0.0,0.0,44,0,Defender,0.0
206,Jean-Philippe,Mateta,Crystal Palace,4,0.1,53,56,0.0,0.2,53,1,Forward,0.2
207,Eberechi,Eze,Crystal Palace,3,0.0,59,0,0.0,0.0,59,0,Midfielder,0.0
208,Nathan,Ferguson,Crystal Palace,2,0.0,45,0,0.0,0.0,45,0,Defender,0.0
209,Tyrick,Mitchell,Crystal Palace,2,0.7,45,630,8.0,4.0,45,18,Defender,4.0
210,Will,Hughes,Crystal Palace,3,0.0,48,0,0.0,0.0,48,0,Midfielder,0.0
211,Michael,Olise,Crystal Palace,3,0.0,54,49,47.0,1.7,54,9,Midfielder,1.7
212,Joel,Ward,Crystal Palace,2,0.3,45,630,39.0,3.6,45,16,Defender,3.6
213,Marc,Guéhi,Crystal Palace,2,0.4,45,630,29.0,4.0,45,18,Defender,4.0
214,Joachim,Andersen,Crystal Palace,2,0.5,45,573,14.0,3.8,45,17,Defender,3.8
215,Nathaniel,Clyne,Crystal Palace,2,0.1,44,0,0.0,0.0,44,0,Defender,0.0
216,Reece,Hannam,Crystal Palace,2,0.1,40,0,0.0,0.0,40,0,Defender,0.0
217,Jesurun,Rak-Sakyi,Crystal Palace,3,0.0,45,13,0.0,0.2,45,1,Midfielder,0.2
218,Robert,Street,Crystal Palace,4,1.4,45,0,0.0,0.0,45,0,Forward,0.0
219,Scott,Banks,Crystal Palace,3,0.0,45,0,0.0,0.0,45,0,Midfielder,0.0
220,Remi,Matthews,Crystal Palace,1,0.2,40,0,0.0,0.0,40,0,Goalkeeper,0.0
221,Odsonne,Edouard,Crystal Palace,4,2.7,65,186,102.0,2.6,65,17,Forward,2.6
222,Fabian,Delph,Everton,3,0.4,44,7,0.0,0.2,44,1,Midfielder,0.2
223,Gylfi,Sigurdsson,Everton,3,0.9,68,0,0.0,0.0,68,0,Midfielder,0.0
224,Seamus,Coleman,Everton,2,0.4,49,360,11.0,2.9,49,14,Defender,2.9
225,James,Rodríguez,Everton,3,0.6,69,0,0.0,0.0,69,0,Midfielder,0.0
226,Bernard,Anício Caldeira Duarte,Everton,3,0.0,55,0,0.0,0.0,55,0,Midfielder,0.0
227,Lucas,Digne,Everton,2,8.5,53,630,41.0,3.0,53,16,Defender,3.0
228,Michael,Keane,Everton,2,2.9,50,630,70.0,5.8,50,29,Defender,5.8
229,Jordan,Pickford,Everton,1,5.2,50,540,0.0,4.2,50,21,Goalkeeper,4.2
230,Allan,Marques Loureiro,Everton,3,7.0,46,612,11.0,5.2,46,24,Midfielder,5.2
231,André Filipe,Tavares Gomes,Everton,3,0.1,49,65,50.0,0.6,49,3,Midfielder,0.6
232,Abdoulaye,Doucouré,Everton,3,6.4,56,630,168.0,7.7,56,43,Midfielder,7.7
233,Alex,Iwobi,Everton,3,0.2,59,284,62.0,2.2,59,13,Midfielder,2.2
234,Yerry,Mina,Everton,2,0.5,49,457,27.0,2.4,49,12,Defender,2.4
235,Tom,Davies,Everton,3,0.1,49,34,18.0,0.6,49,3,Midfielder,0.6
236,Dominic,Calvert-Lewin,Everton,4,3.7,80,248,178.0,2.9,80,23,Forward,2.9
237,Mason,Holgate,Everton,2,0.6,43,180,0.0,1.9,43,8,Defender,1.9
238,Ben,Godfrey,Everton,2,0.5,48,319,49.0,2.1,48,10,Defender,2.1
239,Richarlison,de Andrade,Everton,4,4.3,74,348,113.0,2.2,74,16,Forward,2.2
240,João,Virgínia,Everton,1,1.3,40,0,0.0,0.0,40,0,Goalkeeper,0.0
241,Asmir,Begović,Everton,1,3.5,40,90,0.0,0.2,40,1,Goalkeeper,0.2
242,Andros,Townsend,Everton,3,6.5,56,519,130.0,7.7,56,43,Midfielder,7.7
243,Demarai,Gray,Everton,3,19.1,58,593,194.0,6.2,58,36,Midfielder,6.2
244,Jonjoe,Kenny,Everton,2,0.1,45,10,0.0,0.2,45,1,Defender,0.2
245,Anthony,Gordon,Everton,3,0.1,45,104,2.0,0.9,45,4,Midfielder,0.9
246,Jean-Philippe,Gbamin,Everton,3,0.0,45,0,0.0,0.0,45,0,Midfielder,0.0
247,Jarrad,Branthwaite,Everton,2,0.2,40,0,0.0,0.0,40,0,Defender,0.0
248,Nathan,Broadhead,Everton,4,0.0,45,0,0.0,0.0,45,0,Forward,0.0
249,Moise,Kean,Everton,4,0.0,60,1,0.0,0.2,60,1,Forward,0.2
250,Niels,Nkounkou,Everton,2,0.0,40,0,0.0,0.0,40,0,Defender,0.0
251,Andy,Lonergan,Everton,1,0.1,40,0,0.0,0.0,40,0,Goalkeeper,0.0
252,Salomón,Rondón,Everton,4,0.2,60,251,69.0,1.2,60,7,Forward,1.2
253,Ellis,Simms,Everton,4,0.1,45,0,0.0,0.0,45,0,Forward,0.0
254,Lewis,Dobbin,Everton,4,0.3,45,2,0.0,0.4,45,2,Forward,0.4
255,Charlie,Whitaker,Everton,3,0.0,45,0,0.0,0.0,45,0,Midfielder,0.0
256,Kasper,Schmeichel,Leicester,1,18.3,51,630,0.0,4.1,51,21,Goalkeeper,4.1
257,Jonny,Evans,Leicester,2,0.1,54,29,2.0,0.2,54,1,Defender,0.2
258,Marc,Albrighton,Leicester,3,0.2,54,190,19.0,1.9,54,10,Midfielder,1.9
259,Nampalys,Mendy,Leicester,3,1.8,44,0,0.0,0.0,44,0,Midfielder,0.0
260,Danny,Ward,Leicester,1,5.0,40,0,0.0,0.0,40,0,Goalkeeper,0.0
261,Jamie,Vardy,Leicester,4,14.1,105,620,319.0,4.6,105,48,Forward,4.6
262,Dennis,Praet,Leicester,3,0.0,49,0,0.0,0.0,49,0,Midfielder,0.0
263,Ricardo Domingos,Barbosa Pereira,Leicester,2,3.3,55,325,14.0,2.9,55,16,Defender,2.9
264,Daniel,Amartey,Leicester,2,11.8,40,270,0.0,2.0,40,8,Defender,2.0
265,Timothy,Castagne,Leicester,2,0.6,53,326,6.0,1.3,53,7,Defender,1.3
266,Youri,Tielemans,Leicester,3,4.3,64,630,116.0,4.2,64,27,Midfielder,4.2
267,Ayoze,Pérez,Leicester,3,0.1,58,100,10.0,0.2,58,1,Midfielder,0.2
268,James,Maddison,Leicester,3,4.1,67,375,60.0,1.8,67,12,Midfielder,1.8
269,Kelechi,Iheanacho,Leicester,4,2.4,70,180,62.0,2.6,70,18,Forward,2.6
270,Hamza,Choudhury,Leicester,3,0.1,45,59,0.0,0.2,45,1,Midfielder,0.2
271,Harvey,Barnes,Leicester,3,3.8,67,542,211.0,2.4,67,16,Midfielder,2.4
272,Wilfred,Ndidi,Leicester,3,1.2,49,540,25.0,2.4,49,12,Midfielder,2.4
273,Çaglar,Söyüncü,Leicester,2,2.3,49,630,4.0,2.4,49,12,Defender,2.4
274,James,Justin,Leicester,2,0.0,49,0,0.0,0.0,49,0,Defender,0.0
275,Luke,Thomas,Leicester,2,0.7,45,270,0.0,2.0,45,9,Defender,2.0
276,Wesley,Fofana,Leicester,2,0.3,44,0,0.0,0.0,44,0,Defender,0.0
277,Jannik,Vestergaard,Leicester,2,0.9,49,358,15.0,1.8,49,9,Defender,1.8
278,Patson,Daka,Leicester,4,0.4,71,26,0.0,0.1,71,1,Forward,0.1
