,now_cost,element_type,code,team,team_code,cost,teamname
78,40,1,444172,3,91,4.0,BOU
79,50,3,156685,3,91,5.0,BOU
80,45,2,61810,4,94,4.5,BRE
81,55,3,128295,4,94,5.5,BRE
82,70,4,144485,4,94,7.0,BRE
83,45,1,154561,4,94,4.5,BRE
84,50,2,174932,4,94,5.0,BRE
85,45,3,183656,4,94,4.5,BRE
86,45,2,191866,4,94,4.5,BRE
87,45,2,194010,4,94,4.5,BRE
88,55,3,204580,4,94,5.5,BRE
89,50,3,205836,4,94,5.0,BRE
90,50,3,207283,4,94,5.0,BRE
91,55,3,216646,4,94,5.5,BRE
92,45,2,226956,4,94,4.5,BRE
93,45,2,228044,4,94,4.5,BRE
94,45,2,231065,4,94,4.5,BRE
95,50,3,428580,4,94,5.0,BRE
96,45,3,432160,4,94,4.5,BRE
97,60,4,446008,4,94,6.0,BRE
98,40,2,213687,4,94,4.0,BRE
99,45,4,216620,4,94,4.5,BRE
100,40,2,232247,4,94,4.0,BRE
101,45,3,481405,4,94,4.5,BRE
102,40,1,235448,4,94,4.0,BRE
103,50,2,472713,4,94,5.0,BRE
104,55,3,249231,4,94,5.5,BRE
105,45,1,140200,4,94,4.5,BRE
106,45,2,51927,4,94,4.5,BRE
107,50,3,39155,5,36,5.0,BHA
108,40,1,49262,5,36,4.0,BHA
109,65,4,50175,5,36,6.5,BHA
110,55,3,60307,5,36,5.5,BHA
111,45,2,61933,5,36,4.5,BHA
112,45,2,83299,5,36,4.5,BHA
113,50,3,109345,5,36,5.0,BHA
114,45,2,110735,5,36,4.5,BHA
115,45,2,111478,5,36,4.5,BHA
116,65,4,115382,5,36,6.5,BHA
117,65,3,116216,5,36,6.5,BHA
118,50,2,179268,5,36,5.0,BHA
119,45,1,215059,5,36,4.5,BHA
120,45,2,232792,5,36,4.5,BHA
121,45,3,235382,5,36,4.5,BHA
122,55,3,243016,5,36,5.5,BHA
123,45,3,243505,5,36,4.5,BHA
124,55,3,423649,5,36,5.5,BHA
125,45,3,441192,5,36,4.5,BHA
126,50,3,486672,5,36,5.0,BHA
127,45,3,209045,5,36,4.5,BHA
128,40,2,433589,5,36,4.0,BHA
129,55,4,450434,5,36,5.5,BHA
130,50,3,451340,5,36,5.0,BHA
131,50,4,474120,5,36,5.0,BHA
132,45,3,484658,5,36,4.5,BHA
133,50,2,41328,6,8,5.0,CHE
134,55,2,51090,6,8,5.5,CHE
135,55,2,82263,6,8,5.5,CHE
136,60,3,85955,6,8,6.0,CHE
137,50,3,88894,6,8,5.0,CHE
138,50,3,91651,6,8,5.0,CHE
139,45,1,109745,6,8,4.5,CHE
140,50,3,116594,6,8,5.0,CHE
141,60,3,124183,6,8,6.0,CHE
142,50,3,126187,6,8,5.0,CHE
143,80,4,165153,6,8,8.0,CHE
144,40,2,167767,6,8,4.0,CHE
145,60,2,172850,6,8,6.0,CHE
146,60,3,176413,6,8,6.0,CHE
147,50,2,180736,6,8,5.0,CHE
148,80,3,184341,6,8,8.0,CHE
149,50,2,204727,6,8,5.0,CHE
150,55,3,209046,6,8,5.5,CHE
151,80,4,219847,6,8,8.0,CHE
152,60,2,225796,6,8,6.0,CHE
153,50,1,228286,6,8,5.0,CHE
154,60,3,232787,6,8,6.0,CHE
155,45,3,243568,6,8,4.5,CHE
156,55,4,440323,6,8,5.5,CHE
157,45,2,199598,6,8,4.5,CHE
158,100,3,103955,6,8,10.0,CHE
159,55,2,86129,6,8,5.5,CHE
160,45,1,40836,7,31,4.5,CRY
161,40,2,49413,7,31,4.0,CRY
162,50,3,50471,7,31,5.0,CRY
163,55,4,54861,7,31,5.5,CRY
164,45,2,55494,7,31,4.5,CRY
165,45,2,57328,7,31,4.5,CRY
166,45,3,66975,7,31,4.5,CRY
167,55,3,80146,7,31,5.5,CRY
168,70,3,82403,7,31,7.0,CRY
169,50,3,86417,7,31,5.0,CRY
170,45,1,105666,7,31,4.5,CRY
171,50,3,108413,7,31,5.0,CRY
172,45,3,173954,7,31,4.5,CRY
173,45,2,174874,7,31,4.5,CRY
174,55,4,199670,7,31,5.5,CRY
175,45,2,209036,7,31,4.5,CRY
176,55,4,231747,7,31,5.5,CRY
177,55,3,232413,7,31,5.5,CRY
178,45,2,244723,7,31,4.5,CRY
179,55,3,443661,7,31,5.5,CRY
180,45,3,450542,7,31,4.5,CRY
181,45,3,450535,7,31,4.5,CRY
182,40,2,232423,7,31,4.0,CRY
183,45,1,101982,7,31,4.5,CRY
184,40,1,169593,7,31,4.0,CRY
185,45,4,450541,7,31,4.5,CRY
186,50,3,438464,7,31,5.0,CRY
187,45,2,427623,7,31,4.5,CRY
188,40,1,40349,8,11,4.0,EVE
189,50,4,57134,8,11,5.0,EVE
190,45,2,59949,8,11,4.5,EVE
191,55,3,60252,8,11,5.5,EVE
192,45,2,106611,8,11,4.5,EVE
193,55,3,108823,8,11,5.5,EVE
194,45,1,111234,8,11,4.5,EVE
195,50,3,119765,8,11,5.0,EVE
196,45,3,120250,8,11,4.5,EVE
197,55,3,121599,8,11,5.5,EVE
198,55,3,153133,8,11,5.5,EVE
199,45,3,160987,8,11,4.5,EVE
200,45,2,164511,8,11,4.5,EVE
201,55,3,172632,8,11,5.5,EVE
202,50,3,173807,8,11,5.0,EVE
203,80,4,177815,8,11,8.0,EVE
204,45,2,194164,8,11,4.5,EVE
205,45,2,198826,8,11,4.5,EVE
206,45,2,224967,8,11,4.5,EVE
207,55,3,232826,8,11,5.5,EVE
208,40,2,480455,8,11,4.0,EVE
209,40,2,243571,8,11,4.0,EVE
210,40,2,495542,8,11,4.0,EVE
211,45,2,17761,8,11,4.5,EVE
212,45,2,216054,8,11,4.5,EVE
213,55,3,433154,8,11,5.5,EVE
214,50,3,76357,9,54,5.0,FUL
215,45,2,82514,9,54,4.5,FUL
216,50,3,83543,9,54,5.0,FUL
217,45,3,89085,9,54,4.5,FUL
218,55,3,92259,9,54,5.5,FUL
219,55,3,96994,9,54,5.5,FUL
220,45,2,101105,9,54,4.5,FUL
221,40,1,102884,9,54,4.0,FUL
222,40,2,109434,9,54,4.0,FUL
223,45,2,109646,9,54,4.5,FUL
224,65,4,128389,9,54,6.5,FUL
225,45,3,153366,9,54,4.5,FUL
226,60,3,153682,9,54,6.0,FUL
227,45,1,155529,9,54,4.5,FUL
228,50,3,166324,9,54,5.0,FUL
229,45,2,167074,9,54,4.5,FUL
230,45,3,168765,9,54,4.5,FUL
231,45,2,169528,9,54,4.5,FUL
232,55,4,244042,9,54,5.5,FUL
233,45,4,490146,9,54,4.5,FUL
234,50,3,154296,9,54,5.0,FUL
235,45,3,156689,9,54,4.5,FUL
236,45,3,432931,9,54,4.5,FUL
237,45,2,120721,9,54,4.5,FUL
238,50,1,17745,10,13,5.0,LEI
239,45,2,37642,10,13,4.5,LEI
240,40,2,40146,10,13,4.0,LEI
241,50,3,51938,10,13,5.0,LEI
242,45,3,86881,10,13,4.5,LEI
243,40,2,93100,10,13,4.0,LEI
244,40,1,95463,10,13,4.0,LEI
245,95,4,101668,10,13,9.5,LEI
246,45,2,111931,10,13,4.5,LEI
247,45,2,155569,10,13,4.5,LEI
248,45,2,166477,10,13,4.5,LEI
249,65,3,166989,10,13,6.5,LEI
250,50,3,168580,10,13,5.0,LEI
251,80,3,172780,10,13,8.0,LEI
252,65,4,173515,10,13,6.5,LEI
253,45,3,197469,10,13,4.5,LEI
254,70,3,201666,10,13,7.0,LEI
255,50,3,203341,10,13,5.0,LEI
256,50,3,215413,10,13,5.0,LEI
257,45,2,218031,10,13,4.5,LEI
258,45,2,220627,10,13,4.5,LEI
259,45,3,225902,10,13,4.5,LEI
260,45,2,244619,10,13,4.5,LEI
261,60,4,245419,10,13,6.0,LEI
262,45,2,444463,10,13,4.5,LEI
263,40,2,232620,10,13,4.0,LEI
264,45,2,55914,11,2,4.5,LEE
265,45,2,66588,11,2,4.5,LEE
266,50,3,72222,11,2,5.0,LEE
267,45,3,80179,11,2,4.5,LEE
268,60,3,80954,11,2,6.0,LEE
269,50,2,87873,11,2,5.0,LEE
270,75,4,106617,11,2,7.5,LEE
271,45,2,149915,11,2,4.5,LEE
272,50,3,173821,11,2,5.0,LEE
273,45,2,193645,11,2,4.5,LEE
274,60,3,200617,11,2,6.0,LEE
275,70,3,219961,11,2,7.0,LEE
276,60,3,221399,11,2,6.0,LEE
277,45,3,221610,11,2,4.5,LEE
278,45,2,222694,11,2,4.5,LEE
279,40,1,223081,11,2,4.0,LEE
280,45,4,248937,11,2,4.5,LEE
281,45,1,437495,11,2,4.5,LEE
282,45,2,443967,11,2,4.5,LEE
283,45,3,450070,11,2,4.5,LEE
284,45,3,450529,11,2,4.5,LEE
285,55,4,462635,11,2,5.5,LEE
286,40,2,477547,11,2,4.0,LEE
287,50,2,224209,11,2,5.0,LEE
288,50,3,234370,11,2,5.0,LEE
289,55,3,427637,11,2,5.5,LEE
290,45,3,470294,11,2,4.5,LEE
291,50,3,200785,11,2,5.0,LEE
292,65,3,224995,11,2,6.5,LEE
293,45,3,15157,12,14,4.5,LIV
294,55,3,56979,12,14,5.5,LIV
295,60,2,60914,12,14,6.0,LIV
296,55,3,61558,12,14,5.5,LIV
297,50,3,81880,12,14,5.0,LIV
298,80,4,92217,12,14,8.0,LIV
299,65,2,97032,12,14,6.5,LIV
300,55,1,116535,12,14,5.5,LIV
301,55,3,116643,12,14,5.5,LIV
302,130,3,118748,12,14,13.0,LIV
303,70,2,122798,12,14,7.0,LIV
304,75,2,169187,12,14,7.5,LIV
305,45,2,171287,12,14,4.5,LIV
306,50,3,175592,12,14,5.0,LIV
307,90,4,194634,12,14,9.0,LIV
308,40,1,200720,12,14,4.0,LIV
309,50,2,204716,12,14,5.0,LIV
310,50,3,206915,12,14,5.0,LIV
311,45,2,214285,12,14,4.5,LIV
312,80,3,244731,12,14,8.0,LIV
313,50,3,444884,12,14,5.0,LIV
314,55,3,244858,12,14,5.5,LIV
315,90,4,447203,12,14,9.0,LIV
316,40,2,489580,12,14,4.0,LIV
317,40,1,60706,12,14,4.0,LIV
318,40,2,219937,12,14,4.0,LIV
319,40,2,152898,12,14,4.0,LIV
320,40,2,444765,12,14,4.0,LIV
321,40,2,197464,12,14,4.0,LIV
322,50,2,58621,13,43,5.0,MCI
323,75,3,59859,13,43,7.5,MCI
324,120,3,61366,13,43,12.0,MCI
325,55,2,97299,13,43,5.5,MCI
326,80,3,103025,13,43,8.0,MCI
327,70,3,114283,13,43,7.0,MCI
328,70,2,121145,13,43,7.0,MCI
329,55,1,121160,13,43,5.5,MCI
330,50,2,126184,13,43,5.0,MCI
331,60,2,146941,13,43,6.0,MCI
332,40,1,164484,13,43,4.0,MCI
333,70,3,165809,13,43,7.0,MCI
334,60,2,171314,13,43,6.0,MCI
335,80,3,209244,13,43,8.0,MCI
336,60,3,220566,13,43,6.0,MCI
337,45,3,244851,13,43,4.5,MCI
338,45,3,432714,13,43,4.5,MCI
339,115,4,223094,13,43,11.5,MCI
340,65,4,461358,13,43,6.5,MCI
341,40,2,439510,13,43,4.0,MCI
342,40,2,447880,13,43,4.0,MCI
343,45,4,463034,13,43,4.5,MCI
344,40,1,88248,13,43,4.0,MCI
345,50,3,155405,13,43,5.0,MCI
346,40,1,17601,13,43,4.0,MCI
347,105,4,14937,14,1,10.5,MUN
348,50,1,51940,14,1,5.0,MUN
349,40,2,76359,14,1,4.0,MUN
350,50,2,90152,14,1,5.0,MUN
351,50,2,95658,14,1,5.0,MUN
352,55,3,101582,14,1,5.5,MUN
353,50,2,106760,14,1,5.0,MUN
354,100,3,141746,14,1,10.0,MUN
355,50,2,152590,14,1,5.0,MUN
356,65,3,176297,14,1,6.5,MUN
357,55,3,180184,14,1,5.5,MUN
358,45,2,184667,14,1,4.5,MUN
359,50,3,195851,14,1,5.0,MUN
360,40,2,197365,14,1,4.0,MUN
361,75,3,209243,14,1,7.5,MUN
362,45,2,214590,14,1,4.5,MUN
363,45,2,216051,14,1,4.5,MUN
364,40,2,232937,14,1,4.0,MUN
365,50,3,449434,14,1,5.0,MUN
366,70,4,148225,14,1,7.0,MUN
367,45,3,488404,14,1,4.5,MUN
368,40,1,21205,14,1,4.0,MUN
369,45,2,222690,14,1,4.5,MUN
370,65,3,80607,14,1,6.5,MUN
371,45,2,221820,14,1,4.5,MUN
372,50,3,50232,15,4,5.0,NEW
373,45,2,56983,15,4,4.5,NEW
374,45,2,57145,15,4,4.5,NEW
375,45,2,58845,15,4,4.5,NEW
376,40,1,59735,15,4,4.0,NEW
377,60,4,60689,15,4,6.0,NEW
378,45,1,67089,15,4,4.5,NEW
379,75,4,75115,15,4,7.5,NEW
380,50,2,77794,15,4,5.0,NEW
381,45,2,78916,15,4,4.5,NEW
382,55,3,90105,15,4,5.5,NEW
383,45,2,101148,15,4,4.5,NEW
384,45,4,104547,15,4,4.5,NEW
385,40,2,106618,15,4,4.0,NEW
386,45,2,109528,15,4,4.5,NEW
387,45,2,111773,15,4,4.5,NEW
388,45,3,114243,15,4,4.5,NEW
389,45,2,119471,15,4,4.5,NEW
390,50,2,169359,15,4,5.0,NEW
391,65,3,170137,15,4,6.5,NEW
392,50,3,179018,15,4,5.0,NEW
393,45,3,180135,15,4,4.5,NEW
394,60,3,180974,15,4,6.0,NEW
395,45,2,194799,15,4,4.5,NEW
396,50,3,200089,15,4,5.0,NEW
397,60,3,208706,15,4,6.0,NEW
398,45,3,83314,15,4,4.5,NEW
399,50,1,98747,15,4,5.0,NEW
400,45,2,220237,15,4,4.5,NEW
401,40,2,215136,16,17,4.0,NFO
402,45,3,48615,16,17,4.5,NFO
403,45,2,56917,16,17,4.5,NFO
404,45,4,57647,16,17,4.5,NFO
405,45,3,58771,16,17,4.5,NFO
406,45,1,102836,16,17,4.5,NFO
407,45,3,166325,16,17,4.5,NFO
408,50,3,168172,16,17,5.0,NFO
409,45,2,168281,16,17,4.5,NFO
410,40,2,173399,16,17,4.0,NFO
411,50,3,204968,16,17,5.0,NFO
412,45,2,208912,16,17,4.5,NFO
413,40,2,209035,16,17,4.0,NFO
414,50,3,209925,16,17,5.0,NFO
415,50,4,217331,16,17,5.0,NFO
416,45,2,221403,16,17,4.5,NFO
417,45,2,242885,16,17,4.5,NFO
418,60,4,242898,16,17,6.0,NFO
419,50,3,244930,16,17,5.0,NFO
420,45,3,437476,16,17,4.5,NFO
421,60,4,210156,16,17,6.0,NFO
422,45,1,172649,16,17,4.5,NFO
423,45,2,437753,16,17,4.5,NFO
424,45,2,199170,16,17,4.5,NFO
425,45,2,204822,16,17,4.5,NFO
426,40,1,20066,16,17,4.0,NFO
427,45,2,114241,16,17,4.5,NFO
428,50,3,243345,16,17,5.0,NFO
429,60,3,109322,16,17,6.0,NFO
430,45,3,514356,17,20,4.5,SOU
431,50,3,20467,17,20,5.0,SOU
432,45,1,58376,17,20,4.5,SOU
433,50,3,78056,17,20,5.0,SOU
434,55,3,83283,17,20,5.5,SOU
435,45,2,88900,17,20,4.5,SOU
436,50,3,91047,17,20,5.0,SOU
437,55,3,96787,17,20,5.5,SOU
438,65,3,101178,17,20,6.5,SOU
439,55,4,155511,17,20,5.5,SOU
440,45,2,158534,17,20,4.5,SOU
441,45,2,171771,17,20,4.5,SOU
442,65,4,200439,17,20,6.5,SOU
443,50,3,203389,17,20,5.0,SOU
444,45,2,212721,17,20,4.5,SOU
445,40,2,213482,17,20,4.0,SOU
446,45,3,214466,17,20,4.5,SOU
447,45,3,240143,17,20,4.5,SOU
448,45,2,244560,17,20,4.5,SOU
449,50,3,431131,17,20,5.0,SOU
450,45,2,441191,17,20,4.5,SOU
451,45,2,450527,17,20,4.5,SOU
452,40,1,200428,17,20,4.0,SOU
453,45,1,456350,17,20,4.5,SOU
454,45,2,477386,17,20,4.5,SOU
455,40,1,20310,17,20,4.0,SOU
456,55,3,193204,17,20,5.5,SOU
457,55,4,476888,17,20,5.5,SOU
458,55,1,37915,18,6,5.5,TOT
459,40,1,40383,18,6,4.0,TOT
460,115,4,78830,18,6,11.5,TOT
461,120,3,85971,18,6,12.0,TOT
462,50,2,87835,18,6,5.0,TOT
463,50,2,93264,18,6,5.0,TOT
464,60,3,95715,18,6,6.0,TOT
465,50,2,115556,18,6,5.0,TOT
466,55,3,132015,18,6,5.5,TOT
467,45,3,157668,18,6,4.5,TOT
468,45,2,173904,18,6,4.5,TOT
469,45,2,184349,18,6,4.5,TOT
470,55,3,194252,18,6,5.5,TOT
471,45,2,199249,18,6,4.5,TOT
472,40,2,199584,18,6,4.0,TOT
473,55,3,202993,18,6,5.5,TOT
474,45,3,209042,18,6,4.5,TOT
475,40,2,214225,18,6,4.0,TOT
476,50,2,221632,18,6,5.0,TOT
477,50,3,227127,18,6,5.0,TOT
478,50,2,241157,18,6,5.0,TOT
479,80,3,445044,18,6,8.0,TOT
480,45,4,490145,18,6,4.5,TOT
481,55,2,45034,18,6,5.5,TOT
482,45,3,448791,18,6,4.5,TOT
483,45,3,482442,18,6,4.5,TOT
484,40,1,214572,18,6,4.0,TOT
485,45,3,496179,18,6,4.5,TOT
486,45,4,447235,18,6,4.5,TOT
487,85,4,212319,18,6,8.5,TOT
488,50,2,171101,18,6,5.0,TOT
489,45,2,232859,18,6,4.5,TOT
490,50,1,37096,19,21,5.0,WHU
491,45,2,40669,19,21,4.5,WHU
492,50,2,55459,19,21,5.0,WHU
493,75,4,57531,19,21,7.5,WHU
494,50,2,60232,19,21,5.0,WHU
495,55,3,86934,19,21,5.5,WHU
496,45,2,103192,19,21,4.5,WHU
497,45,2,105717,19,21,4.5,WHU
498,45,2,164555,19,21,4.5,WHU
499,60,3,172841,19,21,6.0,WHU
500,85,3,178186,19,21,8.5,WHU
501,50,3,180151,19,21,5.0,WHU
502,50,3,204480,19,21,5.0,WHU
503,55,3,215439,19,21,5.5,WHU
504,55,3,217593,19,21,5.5,WHU
505,45,2,219924,19,21,4.5,WHU
506,45,2,222018,19,21,4.5,WHU
507,50,2,210494,19,21,5.0,WHU
508,45,1,84182,19,21,4.5,WHU
509,45,3,220585,19,21,4.5,WHU
510,70,4,195899,19,21,7.0,WHU
511,45,2,90585,20,39,4.5,WOL
512,50,2,94147,20,39,5.0,WOL
513,70,4,102057,20,39,7.0,WOL
514,45,2,114128,20,39,4.5,WOL
515,50,1,149065,20,39,5.0,WOL
516,50,3,151589,20,39,5.0,WOL
517,55,3,171317,20,39,5.5,WOL
518,60,3,184754,20,39,6.0,WOL
519,50,2,200402,20,39,5.0,WOL
520,55,3,200600,20,39,5.5,WOL
521,45,2,214048,20,39,4.5,WOL
522,45,3,245923,20,39,4.5,WOL
523,55,3,247632,20,39,5.5,WOL
524,45,2,448514,20,39,4.5,WOL
525,55,4,449988,20,39,5.5,WOL
526,40,2,510362,20,39,4.0,WOL
527,50,3,510363,20,39,5.0,WOL
528,55,3,159533,20,39,5.5,WOL
529,40,1,216208,20,39,4.0,WOL
530,55,3,222531,20,39,5.5,WOL
531,40,2,501837,20,39,4.0,WOL
532,50,3,19624,20,39,5.0,WOL
533,45,2,432830,20,39,4.5,WOL
